0,1,2,3,-2,-5,-2,-3
-1,2,-1,-1,4,13,-1,0
0,0,-2,-2,3,0,2,0
-1,-2,-2,-2,-2,-2,-2,1
-1,-2,-1,-5,-4,-6,0,0
-1,-3,-2,-3,-5,-7,-2,-2
-3,0,0,0,-2,-1,0,-1
-2,-2,-1,0,0,0,-2,-2
-2,0,-2,2,-4,-1,-2,-3
-1,-1,-3,1,1,-2,-2,1
-1,0,-1,0,-3,0,-2,-1
0,1,-1,0,4,-2,-3,1
-1,0,0,-4,-3,-1,-2,1
-1,-3,-1,-3,-2,-4,-3,0
-2,-2,-2,-4,-3,-4,-4,-2
-3,-2,0,1,-3,-1,-1,-2
0,-2,-2,3,1,1,0,-1
0,-2,0,-1,-1,-4,2,-2
-3,-2,1,-3,1,1,1,-1
-2,-1,-2,-3,-1,0,-1,-1
-1,1,2,0,0,0,-2,-1
-1,2,-2,-1,1,0,-1,-2
1,-1,1,-2,-4,-3,-2,-1
-2,-1,-1,0,1,-1,1,0
0,0,0,1,2,1,3,-1
-3,0,1,0,2,6,0,-1
-2,-2,-3,1,-3,-4,-1,0
0,-2,-2,0,-2,-1,-3,0
1,-2,-4,-1,-2,-5,-2,0
-2,-2,-2,-2,-1,-3,0,-1
-2,-2,-3,0,1,0,3,-2
1,-1,-1,-3,-2,-3,1,-3
-1,-1,0,-5,-3,0,-3,-1
-1,-1,0,-1,-6,-1,-3,-1
-1,0,-1,-1,1,1,-3,-1
0,1,1,0,0,-1,-1,2
-1,-1,-2,-3,-1,1,-1,-1
0,0,-3,-1,0,-3,-1,-2
0,0,-2,0,-1,-1,1,1
-2,0,-2,-1,-1,0,0,-1
-1,-4,0,-3,1,-4,-1,-1
1,-3,2,-3,0,1,-1,-1
0,-2,1,-2,-2,2,-3,-3
-1,0,-4,-1,-1,0,-1,0
-3,-3,-1,-1,-5,0,-2,0
-4,-1,-1,0,2,-2,-2,-1
0,-1,-2,-4,-1,0,-1,-1
-3,-2,-3,-2,0,-1,-1,-2
-2,1,-3,2,-2,-3,0,-1
0,0,-2,0,-7,-7,-1,1
2,1,-1,5,1,3,-2,1
2,-4,1,1,-1,1,2,1
1,-1,2,0,1,1,0,0
-1,-1,-1,-1,0,1,-2,0
-4,-2,-1,-2,-3,-3,0,0
-4,-2,-2,-2,-3,1,-1,-3
-2,-3,-3,-2,-2,-2,-7,0
-1,-1,-2,-2,-2,-3,-4,-1
-2,-1,-2,-1,-2,-2,-1,-1
0,1,-2,3,0,-2,0,-2
-2,0,-1,1,-1,-1,4,-4
0,1,1,0,-1,0,3,-2
0,0,-1,-2,0,-5,1,-2
1,-2,-2,-3,-5,-1,-2,-3
0,-2,-1,-1,-1,0,-2,-2
-2,-3,0,0,7,5,4,1
0,-1,0,-1,0,-1,-3,0
-2,1,-2,-2,-3,-3,-1,0
1,0,-1,-3,-5,-4,-3,0
-4,-1,-1,-3,-5,2,-3,-3
-2,-1,-1,-1,5,3,0,-3
-1,-3,1,1,2,-3,-3,-1
-2,-1,-4,-4,-6,-3,-4,-3
-1,-2,0,0,1,-2,-1,-3
-1,-1,-2,-1,-4,-1,-2,1
-1,-2,2,0,1,2,0,1
-1,1,-2,0,3,-1,-1,2
1,0,-2,-3,-4,-8,-6,-1
1,1,0,1,-2,4,0,0
-1,-2,-3,0,-4,-5,-3,-1
-4,-2,-1,-1,6,-1,0,-2
-1,0,-2,0,-3,3,-1,1
-2,-2,-1,0,2,-3,0,-2
-2,0,0,1,1,1,1,0
-1,1,-1,-3,-3,0,0,-1
-1,0,-3,0,-4,-3,-1,0
0,-3,0,-2,-1,0,1,0
-2,-1,0,-4,-2,0,-1,-2
-1,-1,2,0,-1,1,0,-2
-3,0,-2,-5,-6,-4,-6,-2
-3,2,-1,-3,-3,-2,-1,0
0,1,1,10,14,3,-1,-1
1,0,1,1,3,0,-1,-1
-2,-7,-6,-9,-5,-3,-2,-1
1,1,4,8,1,-1,-2,-1
-1,-7,-6,-12,1,-2,0,-2
0,1,1,4,-9,1,4,-1
-1,0,-7,-16,0,-5,-1,0
-4,-5,-6,-26,-11,-5,-3,-1
-1,-1,3,29,-5,1,-1,-2
-1,2,7,30,34,2,-1,2
-3,-3,0,-4,-14,-4,-2,-4
1,1,1,7,2,2,3,2
-1,1,1,-7,-3,-1,-2,0
-2,-4,-6,-14,1,2,-1,-2
0,0,2,18,15,2,0,2
-2,-5,-6,-14,-11,-3,-3,-2
1,1,-2,-6,-13,-3,-3,-3
1,6,5,19,16,0,2,0
-1,-2,-8,-16,-11,-3,-2,-2
-2,0,-5,0,-6,-5,0,-4
-1,2,-1,1,5,0,1,0
-1,-2,-1,-10,-9,-1,-2,-2
2,5,6,2,12,2,0,-2
1,2,4,17,4,-1,-3,-1
0,0,3,-3,1,0,-4,-5
-2,-1,0,-1,-14,-3,2,3
0,-3,1,1,1,0,-6,8
-2,-5,-10,-10,-1,-5,-4,-6
-1,-3,-6,-17,-6,-1,-3,-18
-4,3,4,-3,-6,-1,2,4
-8,-11,4,22,1,-3,29,-38
14,8,1,-4,7,3,-7,54
-11,26,25,10,5,2,-22,-48
6,-13,-26,-14,-8,-2,22,86
10,36,76,26,12,13,0,54
-16,-37,-14,6,4,1,-13,-18
-1,-6,-9,16,-4,-11,10,25
21,-1,-29,-39,-6,2,-4,-27
81,32,37,-7,-8,-1,6,-105
-61,-20,17,-2,7,9,31,109
70,37,19,23,15,4,-16,36
-49,15,7,-10,-3,2,-14,-94
21,-19,-26,-14,-10,-13,-8,-4
-30,-43,-34,-25,-23,-9,27,-103
-5,-28,-43,-15,-5,5,17,10
10,9,22,13,5,7,26,-90
-67,-24,-13,10,-2,-9,42,113
71,20,28,12,12,7,-32,-128
-36,2,46,-23,-8,-10,18,127
-4,-34,-36,17,-7,-12,-46,43
10,22,-44,-5,3,9,7,-34
-12,44,41,14,0,-10,3,-10
25,5,30,-4,-1,2,-12,-84
-16,13,63,-4,12,24,41,-28
-45,-42,-72,-3,-7,-8,-18,12
22,19,-12,19,6,2,-2,8
-10,24,10,-18,-7,-4,-8,-48
-12,-24,-36,1,-2,-9,-2,27
1,-20,-4,0,-1,-5,-24,60
24,72,57,14,3,5,-9,21
-3,-39,-9,13,9,10,45,-47
32,-3,-3,-1,-15,-16,-24,50
-29,-3,46,-8,-1,2,-34,-23
14,14,-40,-15,-13,-6,17,22
4,-32,-9,-16,-4,-5,-13,-15
9,9,-2,12,-3,1,3,-2
25,-3,21,13,13,2,26,-23
-43,-45,-42,-14,4,-8,-19,30
-10,23,20,-20,-11,10,13,-13
11,9,-51,-10,-3,-2,22,-2
8,-3,3,42,10,4,1,-13
-4,33,16,-33,1,1,6,9
-11,-22,-18,-13,-30,-14,-21,2
-3,9,8,-16,-18,-18,-38,11
23,35,33,37,27,21,-4,1
-12,-28,-70,-20,-17,-2,28,1
12,22,-3,20,31,7,-19,-23
-5,38,21,-22,-24,-6,-23,-71
-12,-35,-49,-11,4,-9,4,81
1,-2,25,12,-11,-1,-9,-24
-11,2,2,-12,-10,-1,5,42
-21,-34,-32,0,-2,4,13,-48
1,16,9,-3,8,-5,-12,-45
3,-8,-1,-5,8,-1,5,-1
-12,-26,-36,-20,-6,-3,-24,14
16,-1,43,22,-12,0,15,3
-17,-17,-20,-32,31,9,-16,-22
0,-3,31,16,-4,7,18,31
14,1,-34,15,7,-12,-13,-2
-28,2,5,-22,-16,-6,0,17
-7,-13,-19,-15,-27,-10,-6,3
-3,-19,-16,19,7,4,5,-17
-7,10,2,2,-4,5,20,-17
5,7,32,16,16,3,-25,37
-11,-12,-21,-16,-19,-6,9,-23
0,-18,-7,5,0,-5,-16,4
-8,-16,-11,-13,-12,-3,0,-4
7,2,18,12,23,2,1,23
-8,10,5,-10,-13,-2,-3,-32
13,-28,-22,16,-7,-4,-13,-9
-1,18,3,-37,-1,-2,11,25
-1,-7,-14,-5,15,3,11,-9
-7,2,3,-11,-16,-1,25,-49
8,-5,-9,-9,0,-7,-64,53
-11,-8,0,36,-7,-7,0,-2
2,-22,-40,2,15,-1,-5,4
6,31,46,21,-2,-4,-2,4
17,11,-1,-1,-2,4,18,-32
-32,1,1,-7,-2,-4,12,2
-8,-23,-13,-25,-12,-1,-17,14
7,-23,-54,-12,-16,-10,-7,-2
-9,30,1,-7,1,3,3,-22
0,-50,-37,10,7,-2,-10,10
-4,23,12,19,3,-1,8,-8
0,-6,22,-1,0,6,-7,7
-18,-20,-9,-4,6,1,15,-6
15,4,-17,-16,-1,-5,-12,5
8,6,18,9,7,6,13,5
-3,-6,-18,-23,-8,-3,-24,15
2,-13,-2,2,-1,-1,6,-7
-6,15,15,-9,-5,-1,-1,-16
0,-8,-10,17,5,-3,-3,4
7,12,5,1,-4,0,4,3
-7,4,14,2,3,0,2,-4
-3,0,-2,16,7,3,-1,-3
5,3,-1,-10,-1,-2,-3,2
-5,1,-4,-5,-1,0,3,0
-4,6,11,-1,-4,-8,-9,-4
5,3,4,11,2,-1,1,-1
0,-11,-8,-6,-7,3,4,-2
-4,5,6,2,3,-1,-1,-2
1,-1,1,0,2,1,-4,1
4,0,9,17,3,2,2,-5
-4,-2,-6,-17,-5,-3,0,-3
-1,2,0,-1,-3,-7,-5,-2
1,5,-1,-6,0,1,2,2
-6,-3,-5,-5,1,-1,0,-4
-4,2,6,6,-7,-4,-3,-2
-1,-3,2,6,1,1,-1,1
-1,-1,-1,-1,2,1,-2,-2
0,3,4,6,-1,-3,0,-1
2,-5,-2,1,-1,-2,-2,1
0,3,0,-21,-15,-3,1,-1
-1,-3,1,4,4,-5,-2,-3
2,-4,-10,7,15,2,-1,-2
-1,-1,5,19,-8,-2,0,-2
-1,0,-4,-19,-12,1,2,-2
0,2,5,5,-3,0,-1,-1
0,-1,-5,0,-13,0,-2,-3
1,2,7,34,65,8,2,3
0,4,1,4,-3,0,-1,2
-2,-2,-2,-24,-24,-6,-4,1
0,4,1,19,16,4,0,1
-2,-2,-4,-21,-28,-4,-3,-3
-2,-2,-1,36,19,1,0,-1
3,0,-2,-19,-3,-2,1,-2
0,-1,0,-8,-4,-3,0,-4
-2,-1,-6,-16,-12,-4,-2,-3
-2,2,1,0,7,1,0,0
-4,-1,-3,0,-9,-2,-1,-1
-3,0,-1,-8,-7,-3,-3,-2
1,-4,-5,-2,0,-2,-2,-1
0,-1,0,-15,-4,-1,-2,1
-1,1,1,16,10,1,-2,-1
-2,0,1,3,-6,1,1,0
-1,-2,-1,-13,-4,-6,-3,-1
-2,0,-1,5,7,0,-2,0
-1,-1,2,-1,11,3,0,0
-1,0,2,9,7,-2,0,-1
-1,-1,-2,-16,-14,4,-3,-3
-1,-1,0,7,-1,-4,-2,-1
0,-1,-2,-4,-11,-6,-2,1
0,-2,1,-3,7,1,1,0
-3,-4,0,7,3,2,2,-1
-1,-2,-2,-6,-1,1,0,1
-3,0,-1,-1,5,-2,0,-2
-1,1,-1,-5,-9,-2,-2,-1
-2,2,-3,-3,-6,-1,-2,-1
1,1,3,-3,0,3,-2,0
0,-2,-2,3,-3,-2,-2,0
-1,-1,1,-4,-4,-2,-2,-2
-1,-2,-1,-1,0,-3,0,2
-3,-1,-2,-5,-4,-1,0,1
-1,-1,0,4,0,0,1,0
-1,0,-2,-3,-3,-2,-1,-2
0,-1,-1,3,6,1,1,-1
-1,0,-2,-2,-4,-3,-1,-2
-2,0,0,4,5,3,0,-2
-3,-1,2,-3,-3,1,1,-1
-3,-2,0,-2,-6,-1,-1,-2
0,-1,-1,-5,1,-2,-2,-3
-2,-2,-2,-3,-1,-5,-3,-2
1,1,-1,-6,-3,-2,-3,-2
1,0,-3,-3,-3,-1,-1,0
0,-1,-3,1,1,-5,2,-1
0,0,-1,-6,-1,6,0,-1
0,-1,0,5,1,-1,0,-1
-2,-2,1,1,-3,0,-1,-1
-2,-2,0,0,0,-3,-1,-1
1,0,-2,1,0,-2,0,-1
0,-2,-2,-2,-3,0,-2,-2
-1,-1,0,1,-2,0,-1,-1
0,-2,0,0,-3,1,1,-3
-1,-1,-2,-4,-1,-3,-4,0
-3,-2,-2,-3,-3,-1,-2,-2
0,-1,-2,-1,-1,-2,-1,-1
-1,0,-3,-2,1,1,-1,1
-1,0,-1,4,0,0,0,0
-2,-3,-3,0,-2,-3,1,-1
-1,-1,-2,-5,-2,-4,-2,-2
-1,0,0,-3,-1,-2,-2,0
-2,-2,1,0,1,0,1,-1
1,-4,-1,-2,-1,-1,-1,-2
-2,-2,-3,0,1,1,-2,-1
-1,-2,-2,2,1,3,-1,-1
-1,0,-2,-2,-2,-3,-2,-1
0,0,-2,-5,-4,-2,-1,0
0,0,-2,-4,1,2,0,-1
1,1,2,3,0,0,-1,-2
0,-2,-1,0,1,-1,-2,-1
-2,0,-1,-1,-1,-1,0,0
1,2,-1,-3,-4,-7,-1,-2
-2,-2,1,1,-1,1,-2,-1
0,-4,-1,4,0,-1,2,-1
1,-2,-2,0,-2,-2,-1,-1
-1,-2,-3,0,-2,1,-1,-1
-4,-1,0,-1,4,-1,0,-2
0,-4,-3,-4,-5,-2,-2,-1
0,-1,-2,-4,0,1,-2,-1
-2,-3,-2,-6,-2,1,1,0
0,2,1,-2,-4,-7,0,-1
0,2,0,0,-2,2,-2,-3
0,0,0,3,0,2,-1,-1
0,-1,-1,3,-3,-3,-1,0
-2,-3,-1,0,-3,3,0,0
0,-1,-1,-3,2,-5,-2,-1
-1,-1,0,-2,2,-3,-2,-1
0,2,-1,2,0,3,-2,-2
1,1,-2,-1,-1,-2,-3,-1
-4,-2,1,1,-3,-2,-2,-1
0,-1,-2,-1,-2,-3,-3,-3
-1,-2,0,0,3,0,1,-1
-1,-1,-2,-2,-4,-2,2,0
0,1,-1,-2,-1,0,-1,0
-1,-1,0,-2,1,-1,-2,0
-1,-2,-4,-1,-4,-3,-2,-3
2,0,-2,1,-3,0,0,-1
0,-1,-1,0,-1,-3,-1,1
-3,0,-1,-2,-3,-1,0,0
-2,-1,-1,-3,-2,-1,0,0
-3,-1,-1,-6,1,0,-1,-3
-2,1,-3,1,1,-1,0,-1
0,0,-3,1,-2,1,-2,0
-2,-4,0,2,-1,-2,-1,0
1,0,0,2,-3,-3,-2,1
1,0,0,0,0,0,-1,-1
-3,1,0,-5,-4,3,-1,-2
-1,-1,-2,-4,-2,-8,-2,-2
1,0,-1,-2,3,6,0,-2
-1,-1,-2,2,1,-2,0,-1
0,0,0,1,0,-2,1,2
-2,-2,-2,-2,-3,-1,-1,1
-4,-3,-2,-3,-4,-3,-2,-1
-2,-1,1,0,0,3,0,-1
1,-2,-3,-1,-1,-1,-2,-3
1,-1,0,-1,-3,-4,-1,0
0,-2,-1,0,0,-3,1,0
-2,-1,-2,-3,-4,-1,0,-1
-2,-2,0,-1,-1,-3,-2,0
-1,-2,-2,2,2,5,-2,-3
-2,-3,-1,3,-3,-1,-3,-2
-3,-2,1,1,1,-2,-1,0
1,0,-2,-3,1,-2,-1,-3
0,0,2,-2,0,2,0,0
1,1,-2,-6,-1,-2,-3,-1
-1,0,-1,-4,-6,-2,-5,-1
-2,0,-1,-1,-3,1,-1,-1
-2,-1,0,-4,-3,-2,1,-1
0,-1,-1,-1,0,-4,1,0
0,-3,-2,0,0,5,-2,0
-2,-1,-2,0,0,-2,1,0
0,-1,-1,3,-1,1,0,-1
-1,-2,0,0,-5,-4,-2,0
-2,-1,-1,-1,-3,-6,-3,-3
0,-1,-2,-1,-3,1,-1,-1
-1,0,-1,-2,-3,-2,-1,-2
